"総勘定元帳 (2023年10月~2024年03月）"
"勘定科目","取引日","決算整理仕訳","相手勘定科目","税区分","取引先","品目","部門","管理番号","メモタグ","備考","勘定科目コード","相手取引先","相手品目","相手部門","相手メモタグ","相手備考","相手勘定科目コード","取引内容","発行元","借方金額","貸方金額","残高"
"現金","2023-11-06","0","三菱ＵＦＪ　名高速両替金","対象外","","","","","","","","","","","","","","振込ＨＢ１・エヌエツクスキヤツシユ　ロジ","","","441500","10220660"
"現金","2023-11-07","0","三菱ＵＦＪ　名高速両替金","対象外","","","","","","","","","","","","","","振込ＨＢ１・エヌエツクスキヤツシユ　ロジ","","","1989500","8231160"
"現金","2023-11-08","0","三菱ＵＦＪ　名高速両替金","対象外","","","","","","","","","","","","","","","","1040000","","9271160"
"現金","2023-11-08","0","三菱ＵＦＪ　名高速両替金","対象外","","","","","","","","","","","","","","振込ＨＢ１・エヌエツクスキヤツシユ　ロジ","","","539500","8731660"
"現金","2023-11-09","0","三菱ＵＦＪ　名高速両替金","対象外","","","","","","","","","","","","","","","","440000","","9171660"
"現金","2023-11-09","0","三菱ＵＦＪ　名高速両替金","対象外","","","","","","","","","","","","","","","","820000","","9991660"
"現金","2023-11-09","0","三菱ＵＦＪ　名高速両替金","対象外","","","","","","","","","","","","","","振込ＨＢ１・エヌエツクスキヤツシユ　ロジ","","","545000","9446660"
"現金","2023-11-10","0","三菱ＵＦＪ　名高速両替金","対象外","","","","","","","","","","","","","","振込ＨＢ１・エヌエツクスキヤツシユ　ロジ","","","551500","8895160"
"現金","2023-11-13","0","三菱ＵＦＪ　名高速両替金","対象外","","","","","","","","","","","","","","","","1040000","","9935160"
"現金","2023-11-13","0","三菱ＵＦＪ　名高速両替金","対象外","","","","","","","","","","","","","","","","520000","","10455160"
"現金","2023-11-13","0","三菱ＵＦＪ　ＮＳＫ東大阪","対象外","","","","","","","","","","","","","","カードＣ１・セブンギンコウＡＴＭ","","100000","","10555160"
"現金","2023-11-13","0","三菱ＵＦＪ　ＮＳＫ東大阪","対象外","","","","","","","","","","","","","","カードＣ１・セブンギンコウＡＴＭ","","50000","","10605160"
"現金","2023-11-13","0","三菱ＵＦＪ　名高速両替金","対象外","","","","","","","","","","","","","","振込ＨＢ１・エヌエツクスキヤツシユ　ロジ","","","545500","10059660"
"現金","2023-11-14","0","三菱ＵＦＪ　名高速両替金","対象外","","","","","","","","","","","","","","振込ＨＢ１・エヌエツクスキヤツシユ　ロジ","","","1677000","8382660"
"現金","2023-11-15","0","三菱ＵＦＪ　名高速両替金","対象外","","","","","","","","","","","","","","","","440000","","8822660"
"現金","2023-11-15","0","三菱ＵＦＪ　名高速両替金","対象外","","","","","","","","","","","","","","","","820000","","9642660"
"現金","2023-11-15","0","三菱ＵＦＪ　名高速両替金","対象外","","","","","","","","","","","","","","振込ＨＢ１・エヌエツクスキヤツシユ　ロジ","","","545500","9097160"
"現金","2023-11-16","0","三菱ＵＦＪ　名高速両替金","対象外","","","","","","","","","","","","","","","","1040000","","10137160"
"現金","2023-11-16","0","三菱ＵＦＪ　名高速両替金","対象外","","","","","","","","","","","","","","","","520000","","10657160"
"現金","2023-11-16","0","三菱ＵＦＪ　名高速両替金","対象外","","","","","","","","","","","","","","振込ＨＢ１・エヌエツクスキヤツシユ　ロジ","","","548500","10108660"
"現金","2023-11-17","0","三菱ＵＦＪ　名高速両替金","対象外","","","","","","","","","","","","","","振込ＨＢ１・エヌエツクスキヤツシユ　ロジ","","","545500","9563160"
"三菱ＵＦＪ　ＬＬＰメイン","2023-10-24","0","前日繰越","","","","","","","","","","","","","","","","","","","15676404"
"三菱ＵＦＪ　ＬＬＰメイン","2023-10-25","0","三菱ＵＦＪ　美唄","対象外","","","","",""," ","","","","","","","","振替ＢＩＺ・５３４－フ０００８６５３","","3000000","","18676404"
"三菱ＵＦＪ　ＬＬＰメイン","2023-10-25","0","売掛金","対象外","","","","","","","","","","桑名市斎場","","","142","振込２・クワナシカンキヨウタ","","3778225","","22454629"
"三菱ＵＦＪ　ＬＬＰメイン","2023-10-25","0","水道光熱費","対象外","","","","","","","","","","経営","","","763","電気・チユウブデンリヨク","","","2936","22451693"
"三菱ＵＦＪ　ＬＬＰメイン","2023-10-25","0","売掛金","対象外","","","","","","","","","","菰野町斎場","","","142","振込１・コモノ　カンキヨウカ","","1127500","","23579193"
"三菱ＵＦＪ　ＬＬＰメイン","2023-10-25","0","売掛金","対象外","","","","","","","","","","伊勢広域斎場","","","142","振込１・イセコウイキカンキヨウクミアイ","","2648800","","26227993"
"三菱ＵＦＪ　ＬＬＰメイン","2023-10-25","0","売掛金","対象外","","","","","","","","","","豊岡斎場","","","142","振込１・トヨオカセイカツカンキヨウ","","1310000","","27537993"
"三菱ＵＦＪ　ＬＬＰメイン","2023-10-25","0","売掛金","対象外","","","","","","","","","","東員町斎場","","","142","振込１・トウインチヨウ","","809600","","28347593"
"三菱ＵＦＪ　ＬＬＰメイン","2023-10-25","0","支払手数料","対象外","","","","","","","","","","経営","","","766","為替手数料・フリコミ　テスウリヨウ","","","330","28347263"
"三菱ＵＦＪ　ＬＬＰメイン","2023-10-25","0","未払金","対象外","","","","","","","","","","経営","","","420","振込ＢＺ２・ニホンロテツクス（カ","","","16445000","11902263"
"三菱ＵＦＪ　ＬＬＰメイン","2023-10-25","0","支払手数料","対象外","","","","","","","","","","経営","","","766","為替手数料・フリコミ　テスウリヨウ","","","550","11901713"
"三菱ＵＦＪ　ＬＬＰメイン","2023-10-25","0","三菱ＵＦＪ　吹田","対象外","","","","",""," ","","","","","","","","振替ＢＩＺ・５３４－フ０００８６５３","","9330000","","21231713"
"三菱ＵＦＪ　ＬＬＰメイン","2023-10-25","0","三菱ＵＦＪ　富士宮","対象外","","","","","","","","","","","","","","振替ＢＩＺ・５３４－フ０００８６５３","","1843000","","23074713"
"三菱ＵＦＪ　ＬＬＰメイン","2023-10-25","0","三菱ＵＦＪ　みきやま","対象外","","","","",""," ","","","","","","","","振替ＢＩＺ・５３４－フ０００８６５３","","4710000","","27784713"
"三菱ＵＦＪ　ＬＬＰメイン","2023-10-25","0","仮払金","対象外","","","","","","","","","","経営","","","176","振込ＢＺ１・カ）イ－ジス","","","17000000","10784713"
"三菱ＵＦＪ　ＬＬＰメイン","2023-10-26","0","三菱ＵＦＪ　加西市斎場","対象外","","","","","","","","","","",""," ","","振替ＢＩＺ・５３４－フ０００８６５３","","","50000","10734713"
"三菱ＵＦＪ　ＬＬＰメイン","2023-10-26","0","水道光熱費","対象外","","","","","","","","","","経営","","","763","ガス・トウホウガス","","","2158","10732555"
"三菱ＵＦＪ　ＬＬＰメイン","2023-10-26","0","通信費","対象外","","","","","","","","","","経営","","","756","口座振替３・Ｃ．Ｔ．Ｙ","","","18516","10714039"
"三菱ＵＦＪ　ＬＬＰメイン","2023-10-26","0","保険料","対象外","","","","","","","","","","","","","770","口座振替４・ミツイスミトモカイジヨ","","","23330","10690709"
"三菱ＵＦＪ　ＬＬＰメイン","2023-10-26","0","［製］リース料","対象外","","","","","","","","","","北大谷斎場","","","りす","口座振替４・ダイワリ－ス（ＳＭＦＳ","","","57640","10633069"
"三菱ＵＦＪ　ＬＬＰメイン","2023-10-26","0","三菱ＵＦＪ　山形","対象外","","","","","","","","","","","","","","振替ＢＩＺ・５３４－フ０００８６５３","","","2000000","8633069"
"三菱ＵＦＪ　ＬＬＰメイン","2023-10-26","0","三菱ＵＦＪ　県央みずほ","対象外","","","","","","","","","","","","","","振替ＢＩＺ・５３４－フ０００８６５３","","3324000","","11957069"
"三菱ＵＦＪ　ＬＬＰメイン","2023-10-26","0","雑収入","対象外","","","","","","","","","","経営","","","816","振込１・ロウドウキジユンキヨク","","6062","","11963131"
"三菱ＵＦＪ　ＬＬＰメイン","2023-10-27","0","リース料","対象外","","","","","","","","","","","","","768","口座振替４・オリコ","","","1375","11961756"
"三菱ＵＦＪ　ＬＬＰメイン","2023-10-27","0","通信費","対象外","","","","","","","","","","総務課","","","756","口座振替４・ＳＭＢＣ（サイボウズ","","","55000","11906756"
"三菱ＵＦＪ　ＬＬＰメイン","2023-10-27","0","支払手数料","対象外","","","","","","","","","","経営","","","766","口座振替３・ＤＦ．テイコクデ－タ","","","96800","11809956"
"三菱ＵＦＪ　ＬＬＰメイン","2023-10-27","0","売掛金","対象外","","","","","","","","","","野洲川","","","142","振込１・モリヤマシ　カイケイカンリシヤ","","1700416","","13510372"
"三菱ＵＦＪ　ＬＬＰメイン","2023-10-30","0","三菱ＵＦＪ　豊中","対象外","","","","",""," ","","","","","","","","振替ＢＩＺ・５３４－フ０００８６５３","","18919000","","32429372"
"三菱ＵＦＪ　ＬＬＰメイン","2023-10-30","0","売掛金","対象外","","","","","","","","","","広島呉　坂","","","142","振込２・ニシニホンコウソクドウ","","6047317","","38476689"
"三菱ＵＦＪ　ＬＬＰメイン","2023-10-30","0","支払報酬料","対象外","","","","","","","","","","総務課","","","771","口座振替３・ＺＨコモンリヨウ","","","99790","38376899"
"三菱ＵＦＪ　ＬＬＰメイン","2023-10-30","0","支払手数料","対象外","","","","","","","","","","経営","","","766","為替手数料・フリコミ　テスウリヨウ","","","330","38376569"
"三菱ＵＦＪ　ＬＬＰメイン","2023-10-30","0","仮払金","対象外","","","","","","","","","小口現金","北大谷斎場","","","176","カ－ド","","","100000","38276569"
"三菱ＵＦＪ　ＬＬＰメイン","2023-10-30","0","支払手数料","対象外","","","","","","","","","","経営","","","766","為替手数料・フリコミ　テスウリヨウ","","","330","38276239"
"三菱ＵＦＪ　ＬＬＰメイン","2023-10-30","0","未払金","対象外","","","","","","","","","","経営","","","420","振込ＢＺ１・カ）イ－ジス","","","9040000","29236239"
"三菱ＵＦＪ　ＬＬＰメイン","2023-10-30","0","仮払金","対象外","","","","","","","","","","経営","","","176","振込ＢＺ１・エヌデイ－ケ－（カ","","","20000000","9236239"
"三菱ＵＦＪ　ＬＬＰメイン","2023-10-31","0","通信費","対象外","","","","","","","","","","総務課","","","756","電話","","","39222","9197017"
"三菱ＵＦＪ　ＬＬＰメイン","2023-10-31","0","通信費","対象外","","","","","","","","","","経営","","","756","電話・ドコモケイタイ","","","69407","9127610"
"三菱ＵＦＪ　ＬＬＰメイン","2023-10-31","0","通信費","対象外","","","","","","","","","","経営","","","756","電話・ドコモケイタイ","","","420177","8707433"
"三菱ＵＦＪ　ＬＬＰメイン","2023-10-31","0","預り金","対象外","","","","","","","","","","","","","427","社会保険料","","","1446600","7260833"
"三菱ＵＦＪ　ＬＬＰメイン","2023-10-31","0","未払金","対象外","","","","","","","","","","","","","420","総給振・ソウゴウフリコミ　　　ＢＩＺ","","","46693","7214140"
"三菱ＵＦＪ　ＬＬＰメイン","2023-10-31","0","未払金","対象外","","","","","","","","","","","","","420","総給振・ソウゴウフリコミ　　　ＢＩＺ","","","1398608","5815532"
"三菱ＵＦＪ　ＬＬＰメイン","2023-10-31","0","未払金","対象外","","","","","","","","","","","","","420","総給振・ソウゴウフリコミ　　　ＢＩＺ","","","1892249","3923283"
"三菱ＵＦＪ　ＬＬＰメイン","2023-10-31","0","支払手数料","対象外","","","","","","","","","","総務課","","","766","振込手数料","","","330","3922953"
"三菱ＵＦＪ　ＬＬＰメイン","2023-10-31","0","支払手数料","対象外","","","","","","","","","","総務課","","","766","振込手数料","","","6930","3916023"
"三菱ＵＦＪ　ＬＬＰメイン","2023-10-31","0","支払手数料","対象外","","","","","","","","","","総務課","","","766","振込手数料","","","7480","3908543"
"三菱ＵＦＪ　ＬＬＰメイン","2023-10-31","0","売掛金","対象外","","","","","","","","","","経営","","","142","振込１・マイタウンサ－ビス．カ","","3300000","","7208543"
"三菱ＵＦＪ　ＬＬＰメイン","2023-10-31","0","売掛金","対象外","","","","","","","","","","鈴鹿市斎苑","","","142","振込１・スズカシ","","2959000","","10167543"
"三菱ＵＦＪ　ＬＬＰメイン","2023-10-31","0","売掛金","対象外","","","","","","","","","","仙南三斎場","","","142","振込１・センナンチイキコウイキギヨウ","","50894","","10218437"
"三菱ＵＦＪ　ＬＬＰメイン","2023-10-31","0","売掛金","対象外","","","","","","","","","","広島呉　坂","","","142","振込１・ヒロシマコウソクドウロコウシ","","4732682","","14951119"
"三菱ＵＦＪ　ＬＬＰメイン","2023-10-31","0","売掛金","対象外","","","","","","","","","","仙南三斎場","","","142","振込１・センナンチイキコウイキギヨウ","","255885","","15207004"
"三菱ＵＦＪ　ＬＬＰメイン","2023-10-31","0","売掛金","対象外","","","","","","","","","","仙南三斎場","","","142","振込１・センナンチイキコウイキギヨウ","","1106950","","16313954"
"三菱ＵＦＪ　ＬＬＰメイン","2023-10-31","0","売掛金","対象外","","","","","","","","","","琵琶湖大橋料金所","","","142","振込１・シガケンドウロコウシヤ","","17865650","","34179604"
"三菱ＵＦＪ　ＬＬＰメイン","2023-10-31","0","三菱ＵＦＪ　天空館","対象外","","","","","","","","","","","","","","振替ＢＩＺ・５３４－フ０００８６５３","","4740000","","38919604"
"三菱ＵＦＪ　ＬＬＰメイン","2023-10-31","0","三菱ＵＦＪ　北・鶴見","対象外","","","","","","","","","","","","","","振替ＢＩＺ・５３４－フ０００８６５３","","31842000","","70761604"
"三菱ＵＦＪ　ＬＬＰメイン","2023-10-31","0","三菱ＵＦＪ　小林・佃","対象外","","","","","","","","","","","","","","振替ＢＩＺ・５３４－フ０００８６５３","","18585000","","89346604"
"三菱ＵＦＪ　ＬＬＰメイン","2023-10-31","0","三菱ＵＦＪ　津島","対象外","","","","",""," ","","","","","","","","振替ＢＩＺ・５３４－フ０００８６５３","","5382000","","94728604"
"三菱ＵＦＪ　ＬＬＰメイン","2023-10-31","0","売掛金","対象外","","","","","","","","","","館林市斎場","","","142","振込１・トウキヨウワツクス（カ","","2712505","","97441109"
"三菱ＵＦＪ　ＬＬＰメイン","2023-10-31","0","未払金","対象外","","","","","","","","","","経営","","","420","振込ＢＺ１・エヌエスケイ（カ","","","93060000","4381109"
"三菱ＵＦＪ　ＬＬＰメイン","2023-10-31","0","支払手数料","対象外","","","","","","","","","","経営","","","766","為替手数料・フリコミ　テスウリヨウ","","","330","4380779"
"三菱ＵＦＪ　ＬＬＰメイン","2023-10-31","0","売掛金","対象外","","","","","","","","","","西都市斎場","","","142","振込１・サイトコユカンキヨウセイビシ","","1609000","","5989779"
"三菱ＵＦＪ　ＬＬＰメイン","2023-10-31","0","三菱ＵＦＪ　千葉市","対象外","","","","","","","","","","","","","","振替ＢＩＺ・５３４－フ０００８６５３","","13000000","","18989779"
"三菱ＵＦＪ　ＬＬＰメイン","2023-10-31","0","三菱ＵＦＪ　三田","対象外","","","","",""," ","","","","","","","","振替ＢＩＺ・５３４－フ０００８６５３","","5680000","","24669779"
"三菱ＵＦＪ　ＬＬＰメイン","2023-10-31","0","売掛金","対象外","","","","","","","","","","山形市斎場","","","142","振込１・ヤマガタサイエンカンリグル","","17531120","","42200899"
"三菱ＵＦＪ　ＬＬＰメイン","2023-10-31","0","三菱ＵＦＪ　北九州","対象外","","","","","","","","","","","","","","振替ＢＩＺ・５３４－フ０００８６５３","","","1000000","41200899"
"三菱ＵＦＪ　ＬＬＰメイン","2023-10-31","0","仮払金","対象外","","","","","","","","","","","","","176","振込ＢＺ１・セントラルハイウエイ（カ","","45000000","","86200899"
"三菱ＵＦＪ　ＬＬＰメイン","2023-10-31","0","仮払金","対象外","","","","","","","","","","","","","176","振込ＢＺ１・エヌデイ－ケ－（カ","","20000000","","106200899"
"三菱ＵＦＪ　ＬＬＰメイン","2023-11-01","0","三菱ＵＦＪ　苫小牧","対象外","","","","","","","","","","","","","","振替ＢＩＺ・５３４－フ０００８６５３","","2295000","","108495899"
"三菱ＵＦＪ　ＬＬＰメイン","2023-11-01","0","三菱ＵＦＪ　福山","対象外","","","","",""," ","","","","","","","","振替ＢＩＺ・５３４－フ０００８６５３","","4860000","","113355899"
"三菱ＵＦＪ　ＬＬＰメイン","2023-11-01","0","三菱ＵＦＪ　近江八幡","対象外","","","","","","","","","","","","","","振替ＢＩＺ・５３４－フ０００８６５３","","1241000","","114596899"
"三菱ＵＦＪ　ＬＬＰメイン","2023-11-01","0","三菱ＵＦＪ　豊中","対象外","","","","",""," ","","","","","","","","振替ＢＩＺ・５３４－フ０００８６５３","","25000000","","139596899"
"三菱ＵＦＪ　ＬＬＰメイン","2023-11-01","0","未払金","対象外","","","","","","","","","","","","","420","総給振・キユウヨフリコミ　　　　ＢＩＺ","","","263700","139333199"
"三菱ＵＦＪ　ＬＬＰメイン","2023-11-01","0","未払金","対象外","","","","","","","","","","","","","420","総給振・キユウヨフリコミ　　　　ＢＩＺ","","","9106481","130226718"
"三菱ＵＦＪ　ＬＬＰメイン","2023-11-01","0","仮受金","対象外","","","","","","","","","","富士宮聖苑（売店）","","","428","振替ＢＩＺ・５３４－フ００７３７６９","","280000","","130506718"
"三菱ＵＦＪ　ＬＬＰメイン","2023-11-01","0","支払手数料","対象外","","","","","","","","","","経営","","","766","為替手数料・フリコミ　テスウリヨウ","","","330","130506388"
"三菱ＵＦＪ　ＬＬＰメイン","2023-11-01","0","支払手数料","対象外","","","","","","","","","","経営","","","766","為替手数料・フリコミ　テスウリヨウ","","","330","130506058"
"三菱ＵＦＪ　ＬＬＰメイン","2023-11-01","0","支払手数料","対象外","","","","","","","","","","経営","","","766","為替手数料・フリコミ　テスウリヨウ","","","330","130505728"
"三菱ＵＦＪ　ＬＬＰメイン","2023-11-01","0","三菱ＵＦＪ　琵琶湖","対象外","","","","","","","","","","",""," ","","振替ＢＩＺ・５３４－フ０００８６５３","","","100000","130405728"
"三菱ＵＦＪ　ＬＬＰメイン","2023-11-01","0","三菱ＵＦＪ　行田","対象外","","","","","","","","","","","","","","振替ＢＩＺ・５３４－フ０００８６５３","","1640000","","132045728"
"三菱ＵＦＪ　ＬＬＰメイン","2023-11-01","0","三菱ＵＦＪ　大津","対象外","","","","","","","","","","","","","","振替ＢＩＺ・５３４－フ０００８６５３","","4665750","","136711478"
"三菱ＵＦＪ　ＬＬＰメイン","2023-11-01","0","三菱ＵＦＪ　県央みずほ（売店）","対象外","","","","","","","","","","","","","","振替ＢＩＺ・５３４－フ０００８６５３","","1000000","","137711478"
"三菱ＵＦＪ　ＬＬＰメイン","2023-11-01","0","三菱ＵＦＪ　半田市斎場","対象外","","","","","","","","","","","","","","振替ＢＩＺ・５３４－フ０００８６５３","","","100000","137611478"
"三菱ＵＦＪ　ＬＬＰメイン","2023-11-01","0","仮払金","対象外","","","","","","","","","","経営","","","176","振込ＢＺ１・カ）イ－ジス","","","30000000","107611478"
"三菱ＵＦＪ　ＬＬＰメイン","2023-11-01","0","仮払金","対象外","","","","","","","","","","","","","176","振込ＢＺ１・セントラルハイウエイ（カ","","","85000000","22611478"
"三菱ＵＦＪ　ＬＬＰメイン","2023-11-01","0","仮払金","対象外","","","","","","","","","","","","","176","振込ＢＺ１・セントラルハイウエイ（カ","","40000000","","62611478"
"三菱ＵＦＪ　ＬＬＰメイン","2023-11-01","0","仮払金","対象外","","","","","","","","","","経営","","","176","振込ＢＺ１・カ）イ－ジス","","","55000000","7611478"
"三菱ＵＦＪ　ＬＬＰメイン","2023-11-01","0","仮受金","対象外","","","","","","","","","","","","","428","振込ＢＺ１・エヌエスケイ（カ","","400000","","8011478"
"三菱ＵＦＪ　ＬＬＰメイン","2023-11-01","0","通信費","対象外","","","","","","","","","","総務課","","","756","振込ＢＺ１・ケイデイ－デイ－アイ（カ","","","172500","7838978"
"三菱ＵＦＪ　ＬＬＰメイン","2023-11-01","0","支払手数料","対象外","","","","","","","","","","経営","","","766","為替手数料・フリコミ　テスウリヨウ","","","330","7838648"
"三菱ＵＦＪ　ＬＬＰメイン","2023-11-01","0","三菱ＵＦＪ　栃木","対象外","","","","","","","","","","","","","","振替ＢＩＺ・５３４－フ０００８６５３","","","100000","7738648"
"三菱ＵＦＪ　ＬＬＰメイン","2023-11-02","0","水道光熱費","対象外","","","","","","","","","","経営","","","763","ガス・トウホウガス","","","759","7737889"
"三菱ＵＦＪ　ＬＬＰメイン","2023-11-02","0","水道光熱費","対象外","","","","","","","","","","経営","","","763","電気・シコクデンリヨク","","","2045","7735844"
"三菱ＵＦＪ　ＬＬＰメイン","2023-11-02","0","水道光熱費","対象外","","","","","","","","","","経営","","","763","電気・シコクデンリヨク","","","3666","7732178"
"三菱ＵＦＪ　ＬＬＰメイン","2023-11-02","0","支払手数料","対象外","","","","","","","","","","総務課","","","766","振込手数料","","","330","7731848"
"三菱ＵＦＪ　ＬＬＰメイン","2023-11-02","0","支払手数料","対象外","","","","","","","","","","総務課","","","766","振込手数料","","","20790","7711058"
"三菱ＵＦＪ　ＬＬＰメイン","2023-11-02","0","三菱ＵＦＪ　加西市斎場","対象外","","","","","","","","","","",""," ","","振替ＢＩＺ・５３４－フ０００８６５３","","","100000","7611058"
"三菱ＵＦＪ　ＬＬＰメイン","2023-11-02","0","三菱ＵＦＪ　北九州","対象外","","","","",""," ","","","","","","","","振替ＢＩＺ・５３４－フ０００８６５３","","1000000","","8611058"
"三菱ＵＦＪ　ＬＬＰメイン","2023-11-02","0","三菱ＵＦＪ　琵琶湖","対象外","","","","","","","","","","",""," ","","振替ＢＩＺ・５３４－フ０００８６５３","","","300000","8311058"
"三菱ＵＦＪ　ＬＬＰメイン","2023-11-06","0","三菱ＵＦＪ　千葉市","対象外","","","","","","","","","","","","","","振替ＢＩＺ・５３４－フ０００８６５３","","","5000000","3311058"
"三菱ＵＦＪ　ＬＬＰメイン","2023-11-06","0","売掛金","対象外","","","","","","","","","","加西市斎場","","","142","振込２・カサイシ","","1159270","","4470328"
"三菱ＵＦＪ　ＬＬＰメイン","2023-11-06","0","荷造運賃","対象外","","","","","","","","","","","","","751","口座振替３・ＭＨＦ）ヤマトウンユ（カ","","","25197","4445131"
"三菱ＵＦＪ　ＬＬＰメイン","2023-11-06","0","福利厚生費","対象外","","","","","","","","","","経営","","","746","口座振替４・ＳＭＢＣ（カラオケエクシ","","","60500","4384631"
"三菱ＵＦＪ　ＬＬＰメイン","2023-11-06","0","リース料","対象外","","","","","","","","","","","","","768","口座振替３・リコ－リ－ス　（カ","","","254292","4130339"
"三菱ＵＦＪ　ＬＬＰメイン","2023-11-06","0","売掛金","対象外","","","","","","","","","","経営","","","142","振込１・マイタウンサ－ビス．カ","","44176","","4174515"
"三菱ＵＦＪ　ＬＬＰメイン","2023-11-06","0","水道光熱費","対象外","","","","","","","","","","","","","763","振込１・ヒカリガス（カ","","10000","","4184515"
"三菱ＵＦＪ　ＬＬＰメイン","2023-11-06","0","仮払金","対象外","","","","","","","","","","","","","176","振込ＢＺ１・カ）イ－ジス","","20000000","","24184515"
"三菱ＵＦＪ　ＬＬＰメイン","2023-11-06","0","預り金","対象外","","","","","","","","","","","","","427","口座振替・ゲンセンフツコウＲ０５／１０","","","177634","24006881"
"三菱ＵＦＪ　ＬＬＰメイン","2023-11-07","0","売掛金","対象外","","","","","","","","","","経営","","","142","振込１・セントラルハイウエイ（カ","","12629630","","36636511"
"三菱ＵＦＪ　ＬＬＰメイン","2023-11-07","0","未払金","対象外","","","","","","","","","","経営","","","420","振込ＢＺ１・エヌデイ－ケ－キユウシユウ（","","","1507000","35129511"
"三菱ＵＦＪ　ＬＬＰメイン","2023-11-07","0","支払手数料","対象外","","","","","","","","","","経営","","","766","為替手数料・フリコミ　テスウリヨウ","","","330","35129181"
"三菱ＵＦＪ　ＬＬＰメイン","2023-11-07","0","未払金","対象外","","","","","","","","","","経営","","","420","振込ＢＺ１・サン　ギヤザ－（カ","","","2948000","32181181"
"三菱ＵＦＪ　ＬＬＰメイン","2023-11-07","0","支払手数料","対象外","","","","","","","","","","経営","","","766","為替手数料・フリコミ　テスウリヨウ","","","330","32180851"
"三菱ＵＦＪ　ＬＬＰメイン","2023-11-07","0","支払手数料","対象外","","","","","","","","","","経営","","","766","為替手数料・フリコミ　テスウリヨウ","","","330","32180521"
"三菱ＵＦＪ　ＬＬＰメイン","2023-11-07","0","未払金","対象外","","","","","","","","","","経営","","","420","振込ＢＺ２・マイタウンサ－ビス（カ","","","418000","31762521"
"三菱ＵＦＪ　ＬＬＰメイン","2023-11-07","0","支払手数料","対象外","","","","","","","","","","経営","","","766","為替手数料・フリコミ　テスウリヨウ","","","550","31761971"
"三菱ＵＦＪ　ＬＬＰメイン","2023-11-07","0","三菱ＵＦＪ　広呉　坂","対象外","","","","","","","","","","",""," ","","振替ＢＩＺ・５３４－フ０００８６５３","","","300000","31461971"
"三菱ＵＦＪ　ＬＬＰメイン","2023-11-07","0","三菱ＵＦＪ　山形","対象外","","","","","","","","","","","","","","振替ＢＩＺ・５３４－フ０００８６５３","","","2000000","29461971"
"三菱ＵＦＪ　ＬＬＰメイン","2023-11-07","0","諸口","対象外","","","","","","","","","","","","","","振込ＢＺ１・セントラルハイウエイ（カ","","","5330000","24131971"
